Title,Storyline
Kiskisan,"Steamy tale of love, lust, and betrayal. When Adele's sister Bea returns with her girlfriend Cheska, a secret affair begins between Cheska and Adele's boyfriend, Rener, leading to a climactic ending when they're caught."
Un mondo a parte,"Michele relocates from capital to remote village Rupe in Abruzzo park. Challenges emerge as she aims to keep local school with few students open, set against idyllic winter and summer backdrops."
Midnight Taxi,"Night shift cab driver Eddie Carter wakes up next to a dead woman. Suffering from sleepwalking, he investigates to find the killer, exploring London's seedy underbelly, fearing he might be the culprit."
Clear Cut,A team of loggers discover a meth cook site in the middle of the forest and are forced to fight for their lives while being hunted by a drug cartel.
Harley Flanagan: Wired for Chaos,"From a tumultuous Bronx upbringing, the movie chronicles Harley Flanagan's rise to punk stardom at 13, featuring raw NYC footage and interviews with icons like Flea and Ice-T, depicting his transformative journey."
ADA: My Mother the Architect,Renowned architect Ada Karmi-Melamede balanced family life and major projects in 1970s NYC before leaving to design Israel's Supreme Court. Her daughter's film explores their relationship and career-motherhood tensions
To a Land Unknown,A Palestinian refugee living on the fringes of society in Athens gets ripped off by a smuggler and sets out to seek revenge.
Saving Bikini Bottom: The Sandy Cheeks Movie,"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town."
King of My Castle,"Rich hotel owner hires director to create 18th-century village set, drugs and kidnaps spoiled son, leaving him to believe he time-traveled as punishment, hoping to teach humility by living as a peasant under surveillance."
Sicilian Letters,"A time during Cosa Nostra boss Matteo Messina Denaro's three decades as a fugitive from Italian justice, when he was at the peak of his nefarious powers."
Room Service,A sex-crazed hotel room attendant who develops a sexual desire for a mysterious but magnetizing male guest who always brings along different women to his room.
Ernest Cole: Lost and Found,Follows Ernest Cole's journey as the first Black freelance photographer in apartheid South Africa.
A Place Called Silence,"Chen Yutong, a girl's middle school student, was bullied at school, but her mother Li Han was unable to save her daughter from the ""hell"". Everyone around her turned a blind eye, and a collective silence brewed greater violence."
Baki Hanma VS Kengan Ashura,"It's the ultimate showdown. The toughest fighters from ""Baki Hanma"" and ""Kengan Ashura"" clash in this unprecedented, hard-hitting martial arts crossover."
Finding Faith,"Victoria, a Christian advice columnist writing under the name Faith, begins to lose her faith after a series of life events. On her journey back to God, she also finds her way back to love."
Panda Plan,International action superstar Jackie Chan is involved in a rescue operation of a beloved zoo panda named Hu Hu.
Langue Étrangère,"Fanny is 17 and still looking for herself. She struggles to make friends. When she goes to Germany, she meets pen pal Lena, who dreams of getting involved politically. Fanny is troubled. To please Lena, she is ready to do anything."
Un monde merveilleux,"In a near future, Max and her daughter are selling stolen robots on the black market. When Max loses custody of her daughter following their latest scheme, she must rely on the last robot she took, T-O, who is ready to do anything to help."
Stealing Pulp Fiction,"It follows Jonathan, Elizabeth and Steve as they try to steal Quentin Tarantino's personal print of Pulp Fiction (1994)."
Umjolo: The Gone Girl,Follows four women whose love lives intersect at a Valentine's Day wedding none of them will soon forget.
"Palipat-lipat, papalit-palit",A guest turns into nightmare. Story revolves around protagonist and his wife. An Unwanted guest and her desire ruins their personal life. See who wins between lust and love.
Junction,"Junction addresses the modern day opioid crisis in America, and asks how did this happen, from three different points of view. The CEO of a pharmaceutical company, a doctor, and a patient."
A Traveler's Needs,"A French woman drinks makgeolli in Korea after losing her means of income, then teaches French to two Korean women."
Goyo,"A young autistic museum guide lives by a strict routine until he falls in love with his coworker and must confront a whirlwind of new, intense emotions."
Swap,A young couple is lured into the clutches of a bloodthirsty 500-year-old vampire; the exotic stranger tries to persuade them to swap partners and join his kind.
2nd Miracle in Cell No. 7,"Two years have passed, and Kartika lives with Hendro and Linda. However, when Hendro agrees to adopt Kartika, the Social Service prevents it. The inmates in cell No. 7 and Hendro decide to fight for justice in their own way."
We're All Gonna Die,"In near future, everyone's gotten used to the 10, 000-mile alien tentacle that materialized in the sky, and a struggling beekeeper and a grieving wanderer must join together and take a dangerous roadtrip to get their teleported stuff back."
Tabaah,Revolves around the love and turmoil between our two protagonists. The journey of these characters is marked by such unfortunate twists and events that make it a tragic love story.
XXX Premis Butaca,No description available
10 Lives,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey."
The Diary,"Where Olga discovers the unfinished diary of a known killer and becomes fascinated by its dark secrets. As she delves into its contents, she uncovers a mysterious connection between them, putting her life and others in grave danger."
Plan B,"When a one night stand with her awkward neighbor leaves her pregnant, a young woman decides to quickly sleep with a successful businessman and tell him he's the father of her unborn baby."
Hanu Man,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.
Skeet,"After being released from prison, Billy Skinner returns to his low-income neighbourhood feeling like the area has changed dramatically, and what was once a predominantly white neighbourhood is now mostly occupied by refugee families."
Marcello Mio,"Chiara is an actress and daughter of Marcello Mastroianni and Catherine Deneuve. One summer, she decides to live like her father. She dresses, speaks, and breathes like him with such conviction that others start calling her ""Marcello""."
Queen of Bones,A folktale about twin siblings who suspect their father is hiding secrets to their deceased mother's connection with the supernatural.
Taboo: Family Secrets,"The infidelities by patriarch Lukas divide the family. His Son Tyler visit sparks a taboo relationship with his stepmother Amanda, forever altering the dynamics and loyalties after certain revelations."
Rogue Elements: A Ryan Drake Story,"Ryan Drake, hoping to recover an asset, must infiltrate a fortified base, his every move watched by a shadowy figure. He silently makes his way to the base and rescues the asset. Hell breaks out when the figure makes its presence known."
Dandelion,"It follows a singer-songwriter in a downward spiral as she takes a last effort gig at a motorcycle rally in South Dakota where she meets Casey, a guitarist who walked away from his dream long ago."
Woodwalkers,"Carag, a shapeshifting puma raised in the wild, joins Clearwater High, a school for Woodwalkers. With friends Holly (squirrel) and Brandon (bison), he navigates mysteries and dangers of the Woodwalker world."
Julie Keeps Quiet,"Julie is a star player at an elite tennis academy. When her coach falls under investigation and is suddenly suspended, all of the club's players are encouraged to speak up. But Julie decides to keep quiet."
Paani,A drought-stricken village becomes the backdrop as a commoner fights adversity and local goons to transform the place into a self-sufficient haven.
Ride,"Three generations of bull riders fight to raise money to transfer the family's young daughter to a better cancer hospital. Set in Stephenville TX, Ride explores rodeo, addiction in the Heartland, and the cowboy's place in modern America."
Cheaters,"Two strangers meet and have strong sexual connection with each other, only to find out that they're both in relationship with others. How can they sustain a relationship that started with sex and cheating?"
Decoded,"In the 1940s, the world was turbulent, and it was crucial to decipher enemy's communication codes timely and accurately. Rong Jinzhen showed a unique talent. He was noticed by more because he accidentally solved the difficult problem."
Cocorico,"The daughter of the Bouvier-Sauvage family of aristocrats is in love with the son of a Peugeot dealer. When the children announce their marriage, the aristocratic family does not agree."
Vaazhai,"A twelve-year-old boy, Sivanandhan, his mother, sister, and friend navigate life's challenges, where a plantain tree, Vaazhai, becomes a central presence."
Jim Henson: Idea Man,"This documentary features interviews of fans of Jim Henson's work, interspersed with footage from his works, including Wilkins and Wontkins Commercials, that were previously lost."
Death's Sonata,The story of a man suffering from Schizophrenia and the psychotherapist who tries to find him with the help of his young Bi-Polar patient.
Faultline,A hardened corporate lawyer must reconnect with her estranged sister when a case exposes questions about the circumstances surrounding their mother's death 20 years earlier.
Freelance,"When a down-on-her luck video editor takes on a mysterious, well-paying job cutting snuff films, she is haunted by visions of the people in her videos."
Bagheera,"When society turns into a jungle, just one predator cries out for justice."
Bad Faith,"Exposes how Christian Nationalism has become the most powerful anti-democratic force in America. Leaders join forces to defend our country from this march to fascism, but American citizens seem unaware of the threat."
Do You See What I See,"On her birthday, Mawar's dream, who was lonely and only accompanied by her boarding house friends, came true about the partner she dreamed of. However, after finding this partner, Mawar's behavior became increasingly strange."
Terminator: Skynet Rising,"Since Legion was destroyed, the machines have been working to restore Skynet. Now the resistance has discovered their plans and must find a way to prevent them."
Una Pequeña Confusion,"Two couples, Lola - Cuau and Iñigo - Majo, from different socioeconomic backgrounds, undergo artificial insemination procedures to conceive children, exploring their contrasting perspectives on parenthood."
Jönssonligan kommer tillbaka,"Years after their last heist, Sickan reunites with Vanheden, Harry and Doris to steal a T-Rex skeleton from a museum and sell it for millions. However, an aging detective is determined to catch Jönsson before retiring."
Strictly Confidential,"A haunted young woman finds herself drawn into a world of seduction, duplicity and betrayal as she desperately tries to uncover the mystery surrounding her best friend's suicide."
Ellis Park,"Australian musician guides us through his musical career and his wildlife sanctuary in Sumatra, where rescued trafficked animals are nursed back to health by conservationists."
Half Baked: Totally High,Three potheads sell a strain of magical weed to raise funds for their friend's funeral.
Held Hostage in My House,A single mother becomes trapped inside her own vacation rental and must piece together clues from the various guests who have stayed there in order to figure out who assaulted her and hopefully survive.
It's a Good Day to Die,A fugitive gangster falling for a beguiling go-go dancer triggers a pulse-pounding spiral of unexpected twists and betrayals.
Life After Fighting,"A martial arts instructor is confronted with the disappearance of two of his students, leading him into a direct confrontation with a group of international child traffickers."
Love Me Dead,"Reclusive mortician Issac forms bond with waitress Cassi. After harrowing incident, they embark on a path of revenge, blurring lines between reality and fiction in this psychological thriller's tense narrative."
Peter Five Eight,A seemingly glamorous real estate agent in a small mountain community is revealed to be an unhinged alcoholic with a dark secret when a charismatic man in black shows up one day at the behest of his shadowy boss.
Cinderella's Revenge,"Cinderella is pushed too far by her evil stepsisters and stepmother, which causes her to switch out her glass shoes and use the assistance of her Fairy Godmother to seek bloody vengeance."
Drie dagen vis,"This black-and-white drama/comedy explores the strained relationship between Gerrie and his son Dick during their annual three-day reunion in Rotterdam, with the looming threat that this might be Gerrie's last visit."
Runt,"Follows ten-year-old Annie and Runt, her stray dog, as they attempt to win the Agility Course Championship at the Krumpets Dog Show in London in order to save their family's farm from drought and misery."
Pare parecchio Parigi,Three brothers who haven't spoken to each other for years would like to satisfy the wish of their elderly and ill father who has never seen Paris.
Group Therapy,"A witty exploration of mental health challenges through relatable conversations, striking a balance between depth and levity."
Dear Paris,Comedy with a dark sense of humor where the main characters confront death.
French Girl,"Follows Gordon Kinski, a high school teacher from Brooklyn, who goes with his girlfriend and chef Sophie Tremblay to her hometown of Quebec City where she is testing for the Michelin 3-star restaurant of super-chef Ruby Collins."
A Missing Part,"Every day, Jay travels the length and breadth of Tokyo in his taxi, looking for his daughter Lily. In the 9 years since he has separated from his wife, he has never been able to get custody of his daughter. Having given up hope of ever seeing her again, he is about to move back to France when Lily hops in his cab. But she doesn't recognize him."
Futra Days,"After undergoing an experimental time travel ""process"" that sends a man into his future, he investigates the man he has become, by engaging in a romance with his future self's girlfriend in a mind-bending reality."
Art of Love,"After learning that the art thief she has been chasing is her ex-lover, an officer working for Interpol concocts a plan to catch him red-handed."
0000 Kilometre,A phone call to Izmir while she and Ege are living together in France turns their lives upside down. The caller claims to be Izmir's recently deceased mother.
Arenas,"At just 18 years old, Brahim, a promising young footballer, is preparing to realize his dream: signing his first professional contract in Lyon, his club, his city. But the emergence within the club of a powerful foreign agent reshuffles the cards. With Mehdi, his cousin and agent, Brahim embarks on a race against time on the transfer market, ""the transfer window"", where anything goes."
Garudan,"Sokkan, the trusted confidant of childhood friends Aadhi and Karuna.But when his loyalty and self respect is put into test, which would he choose?"
Broken Rage,Director Takeshi Kitano presents a two-part film: a serious yakuza action and a self-parodying comedy of the same story.
Wynonna Earp: Vengeance,Wynonna Earp is coming home to battle her greatest foe yet: a psychotic seductress hellbent on revenge against her...and everyone she loves.
Simp,A model gets kidnapped at a fake photo shoot. Based on true events.
Le quatrième mur,"Georges, a politically committed stage director, has given up activism. But when Samuel, his best friend suffering from an incurable disease, urges him to pursue his crazy idea of staging Anouilh's Antigone to steal two hours of peace from the Lebanese war, Georges cannot refuse. In Beirut, George will rapidly discover the tense atmosphere and all the war conflicts between ethnic groups in the country. The play seems to be a glimmer of hope, even if the cloud of a raging war is upon them. How will the man who has only ever known revolt face the reality of the conflict? Will he be able to escape unscathed?"
Farmer's Bride,"In 1980s Ibadan, a wealthy, lonely farmer seeks solace in marriage with a young bride, Funmi. However, their union is fraught with challenges as Funmi struggles to find happiness and eventually embarks on a forbidden affair."
TL,"Brenda, a top agent in a BPO company, is always overlooked for promotion. But not this time; as she gets more than intimate with her TL. Is her long awaited position within her reach? Or did she just put herself in a bad situation?"
Uhaw,A wife learns that her husband who's in coma had an affair. She confronts the other woman but instead finds solace in her. She then realizes she's falling for her husband's mistress.
Mond,"A former martial artist hired to train three wealthy Jordanian sisters finds her ""dream job"" turning unsettling as the isolated young women are under constant surveillance and show no interest in the sport. Why was she really hired?"
Tom Dustin: Portrait of a Comedian,"Follows comedian Tom Dustin in Key West, featuring stand-up performances and his friendship with Joe List, while exploring depression and alcohol through comedy and storytelling."
Jimmy and Stiggs,"A shitstorm of bad news sends out of work filmmaker Jimmy spiraling into an out of control bender in which he claims to have been abducted by aliens. Fearing they'll come back, he contacts his old friend Stiggs to help him gear up for war."
Peacock,"Matthias masters impersonating roles for hire: cultured boyfriend, perfect son, sparring partner. Professionally adept at pretending daily, his true challenge lies in being himself."
Le dernier souffle,Doctor Augustin Masset engages renowned writer Fabrice Toussaint in a philosophical dialogue exploring life and death. A series of profound encounters guides Toussaint to confront his fears and anxieties.
Chuck Billy and the Marvelous Guava Tree,Chuck Billy and his gang must unite to save Mr. Lau's guava tree when it is put at risk.
Mor Chhainha Bhuinya 2,"Two brothers Uday and Kartik grow up together in Chhattisgarh with differences in their ideologies but with love for each other in their hearts. One day, they find themselves against each other. What will win, their love or their ideology?"
Lubber Pandhu,"Set against the rural backdrop, explores gully cricket stars Gethu and Anbu's intense rivalry. Anbu's romantic involvement with Gethu's daughter escalates the clash. Their skills and emotions are put to the ultimate test."
Sentinel,"Years after an alien invasion, three heroes decide to time travel to save the survivors but they don't know that the Sentinel is waiting for them."
Without Blood,"A parable-like tale exploring themes of family, war, and revenge."
Continental Split,"When a fault threatens to split the U.S., a desperate team of seismologists and government agents race to prevent disaster as the clock ticks down."
Cheat,"Zoe's deteriorating marriage leaves her feeling isolated and longing for connection in the aftermath of a personal trauma. To escape loneliness, she blindly stumbles into a passionate affair, which ultimately leads her down a deadly path."
Hard Home,"A mother who is deeply saddened lures her daughter's killer into her smart home in order to take revenge, and gets involved in a distorted game where life and death are at stake."
American Star,"An assassin on a final assignment in Fuerteventura, to kill a man he has never met. When his target is delayed, he finds himself drawn to the island, people and a ghostly shipwreck."
Amityville: Where the Echo Lives,"When paranormal investigator Heather West receives a call from a terrified woman who claims her house is inhabited by a ghost, she discovers the building has a horrifying history."
Vaazha: Biopic of a Billion Boys,"Four friends deemed 'losers' face immense pressure from parents and society upon entering adulthood. Their emotional tale sees them embark on a journey of self-discovery and acceptance, where love ultimately triumphs over judgment."
Kulong,"Three celibate friends seclude themselves at a resort to pen a steamy script for a competition, but struggle to write convincingly about intimacy they haven't experienced."
Restless,"A middle-aged empty nester's mundane life is upended when raucous new neighbors move in next door, unleashing potential danger and disruption."
Genis Aile 4: Cevahir & Ulvi,"Ulvi and Cevahir, after a period of separation, reunite due to Ulvi's involvement in a murder case. Cevahir investigates to discovers who has been killing the people in village and framing Ulvi, who is bad at butchering."
The Accidental Spy,"The Accidental Spy is the story of how one man became tangled in a complex geo-political web, how he risked everything to protect his family, and how he was cruelly betrayed by the country he strived to defend."
Dard,"After a spate of murders targeting prominent Varanasi residents, police investigators identify Dulu Mia, an auto driver, as a suspect, sparking inquiries into the reason behind the killings."
The Bad Shepherd,A group of friends on a hunting trip accidentally run over a woman carrying a bag of money. Their loyalty is put to the test when a strange man comes knocking.
Ambajipeta Marriage Band,"In a small village during the early 2000s, happy twins Mallikarjuna and Padmavati find their lives changing on their 25th birthday."
First Shift,"Follows a NYC policer officer along with his rookie partner Angela, as they have a rough day while living the dangerous, and routine job of being a cop in the city."
Cora,"After a deadly mist has wiped out most of humanity, a mysterious organisation is trying to save what's left of humankind."
Fight Another Day,"Follows a tough cop, who after being transported to a dystopian future, must enter a deadly combat tournament to be able to return to his past."
Uch Qahramon,No description available
Outlaw,"At the age of nine, Rebeca is sold by her grandmother. Disputed by bicheiros and drug dealers, the community is going through changes in power. Rebeca becomes the wife of the chief drug dealer."
From Embers,"After her husband dies in a lab fire, a widowed mother of an autistic son must try to piece her life together while uncovering what really happened on that fateful night."
Stag,"Gold reappears after vanishing for months. His car breaks down in a remote area. He meets peculiar people in a house. Waking up in his car, he questions if it was a dream or reality."
Young Werther,"Werther, a carefree and charming young writer, stumbles across the love of his life only to find out she's engaged. Against his best friend's urgings, Werther turns his world upside down in a misguided and hilarious quest to win her heart."
The Waves of Madness,"A special agent is dispatched to investigate a distress call from a round-the-world cruise, only to find the ship eerily abandoned and haunted by a malevolent force that twists sanity into terror."
You Can't Run Forever,A teenage girl suffering from anxiety due to a tragic event from her past finds herself hunted through the woods by a sociopath on a murderous rampage.
Seize Them!,"Dark Ages Britain where Queen Dagan is toppled by a revolution led by Humble Joan. The Queen becomes a fugitive in her own land, and must face hardship and danger as she embarks on a voyage to win back her throne."
Here Now,Sophie a young Californian traveling in Italy on her vacation with her sister. She meets Giulio and his group of friends with whom she spends the most terrifying night of her life.
The Image of You,"When Anna meets a stock trader, she thinks he's perfect, but her identical twin sister Zoe doesn't trust him, so she sets out to discover the truth about him."
Drawing Closer,"With only a year left to live, 17-year-old Akito finds new meaning in life by bringing joy to a terminally ill girl who has just six months remaining."
World Between Us,Will Marie from a small town in the Czech Republic succeed by fulfilling her lifetime dream to conquer New York as a still photographer?
Shirley,Shirley Chisholm makes a trailblazing run for the 1972 Democratic presidential nomination after becoming the first Black woman elected to Congress.
Fox & Hare Save the Forest,"It centers on the adventures of Fox and Hare, best friends who are surrounded by a bunch who have become like family. One day, they find out that Owl has gone missing, and they embark on a journey to find him."
Merry Christmas,Two strangers meet on a fateful Christmas Eve. A night of delirious romance turns into a nightmare. Revealing anything more would be a crime.
Love Bomb,A mysterious dating app designed for one night stands brings three strangers together with deadly consequences.
Black Tea,"After saying ""no"" on her wedding day, Joice leaves the Ivory Coast to start a new life in Guangzhou, China."
Celal'in Treni,No description available
Unpredictable,"A modern thriller filled with intense sexual tension. Betrayal, jealousy, revenge and lies. A plot full of tension and twists of events."
Pink Lady,"Battie and Lazer, a Jewish ultra-Orthodox couple are being blackmailed by the Wolf's gang. Both are going to fight the gang in a journey that will test their love and faith and change their lives forever."
Bad Newz,"A crazy laugh riot which will show the outcomes of two sophisticated Punjabi men and a Punjabi girl. One of the men has a one night stand with the girl and somehow, craziness happens when she is pregnant unexpectedly."
Love Kills,Infidelity comes to an abrupt end when the cheating lovers are caught.
Gone Running,"Mother and daughters take on marathon relay after husband/father's death to honor his wish. Unprepared physically and mentally, their attempt creates ripples affecting relatives and friends, compounding challenge."
Jim's Story,A family living in the Jura mountains is torn apart following the return of the son's biological father.
The Air He Breathes,"Elizabeth and Tristan, who find solace and healing in each other's company after suffering devastating losses. As they navigate their grief and past traumas, they discover the power of love and second chances."
Festival of the Living Dead,"While attending a festival to commemorate the original zombie attack, Ash and her friends encounter the living dead and must fight back or be devoured."
A.R.M,"Set in the Northern Kerala in 1900, 1950 and 1990, three generations of heroes, Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the land."
South of Hope Street,"In 2038 earth enters a mysterious universe. People hide behind a gigantic wall and engage in wars. In this dystopian wonderland, Denise walks on thin ice spurred on by Tom, a caretaker, who promises that a renaissance is on its way."
Cup,"The story of a sixteen-year-old boy, a badminton player from a village named Vellathooval in Idukki, who dreams of the Olympics."
The Ballad of Hortensia,A narcissistic comedian wakes up in the opposite sex body following an automobile accident.
Hijack '93,"In an effort to dismantle their military-backed government, four men hijack an airplane, leveraging passengers on board in the name of social change."
The Curse of the Necklace,Family navigates turbulent 1960s dynamics. Mom separates from alcoholic husband. Daughters grapple with changes. Dad's antique gift hides dark force that imperils all.
Untamed Royals,"Follows a group of wealthy, privileged youths who use their high social status to get away with crimes, but their lavish lifestyle hides a dark truth where the most vulnerable people suffer the consequences of their actions."
The Last Front,"Amidst World War I's chaos, a grieving father turns hero, leading villagers to safety while evading a relentless enemy driven by vengeance."
Aamar Boss,"A heartwarming story about a man juggling work and family, until his mother's unexpected presence at the office quietly transforms the workplace. Inspired by real-life corporate daycare programs."
Auction,"André Masson, specialist in modern art, receives a letter according to which a painting by Egon Schiele had been discovered in Mulhouse. He finds that the work has been missing since 1939. This discovery puts his career in danger."
Untold: The Murder of Air McNair,This documentary tracks the rise of legendary NFL quarterback Steve McNair and the perplexing details surrounding his shocking murder in 2009.
Bibi Rajni,"A true event-based thought, who always had faith in Waheguru (God). The Masterpiece, which is designed for people of all ages, is a complete family watch for those wanting to learn and know about Sikhism heritage. Plot by: Tejpal Pataria"
Oxana,"23 July 2018. An important date for ex-FEMEN leader Oxana Chatchko: the opening of her exhibition of blasphemous icons. Thus begins a day of wandering through Paris. Amid meetings with lovers and an art critic, and an appointment to confirm her political refugee status, memories of her past as a feminist activist, and the traumas and betrayals she suffered during her struggle, resurface. Can she rekindle her desire to live?"
How to Rob a Bank,"In this true-crime documentary, a charismatic rebel in 1990s Seattle pulls off an unprecedented string of bank robberies straight out of the movies."
Witches,"Examines the relationship between cinematic portrayals of witches and postpartum depression, utilizing film history footage alongside personal testimony."
Goldilocks and the Three Bears: Death and Porridge,"When a group of friends arrive at the wrong address for their annual reunion vacation, Desperate, they break into a isolated house only to later discover it belongs to psychotic killers dressed as Goldilocks and the Three Bears."
Fluxx,"""FLUXX"" is a mind-bending multi-genre film centered on an actress determined to rescue her famous missing husband, despite unable to willingly leave her Hollywood Hills home-trapped in a reality warping time, memory, and her own identity."
Last Mile,"A cardboard box explodes on Black Friday, terrorizing the nation. Erena Funado, center director for Kanto distribution warehouse, must control the situation with Kou Nashimoto."
Kontra,"Fanny has just moved from the suburbs to a new school in northern Copenhagen. She finds it difficult to adjust to the new environment, and a group of girls in her class seem to dominate the entire school. Fanny befriends the former leader of the group, Lilja, to form an alliance and do whatever it takes to become popular, have the same opportunities and get into the right circles. But the power struggle has a price, and what is the point of being popular if you don't even have a friend you can trust?"
Case of Kondana,"In the outskirts of Bangalore, a fiery ASI clashes with a gangster in a fictional outpost. His love life faces hurdles while ACP Lakshmi hunts a criminal and Raju tries to save his ill son."
Pizza Boy Rick,Rick's pizza delivery job takes a wild turn when he stumbles upon a dying man who tasks him to race across town before midnight to uncover a twisted game.
Dead Wrong,A narcissist concocts a get-rich-quick scheme that ignites a violent chain reaction and overwhelms the lives of those around him.
Scurry,"Two strangers who find themselves trapped underground when the city is attacked by a monstrous threat. Badly injured with limited resources they must navigate a treacherous, narrowing tunnel in hopes of finding an exit."
From Ground Zero,"From Ground Zero is a collection of 22 short films made in Gaza. Initiated by Palestinian director Rashid Masharawi, the project was born to give a voice to 22 Gazan filmmakers to tell the untold stories of the current war on film."
The Last of Us: Immunity,Fan-made film based on The Last of Us.
Al otro barrio,No description available
Babezilla vs the Cyber Skanks: Rise of MechaBabezilla,Babezilla has met her match with MechaBabezilla and the Cyber Skanks. Now she must train with Master Beta to learn a new technique to defeat MechaBabezilla.
Boléro,"In 1928 Paris, choreographer Ida Rubinstein commissions Maurice Ravel to compose the music for her next ballet. Facing a crisis of inspiration, the composer revisits his life and dedicates himself to create a universal masterpiece, Bolero."
Blink,"Chronicles a family's global trip before their children lose vision to a rare genetic disorder, capturing their journey to experience the world's beauty while they can still see it, and preparing for an inevitable future."
Mr. Manhattan,Mason Bradley's life turns upside-down when he unexpectedly becomes the sole guardian of his late brother's kids after prioritizing his law career and ending his engagement.
Thaghut,"Ainun found out that her biological father, Abah Mulya, was actually a spiritual teacher who taught heresy and distanced himself from the Qibla. Can Ainun guide them to the right path again?"
Elyas,A former Special Forces soldier who has become solitary and paranoid since serving Afghanistan and recruited to provide the security for Amina and her daughter Nour.
Cassino in Ischia,"The next generation of action heroes push Nic Cassino off his perch. He goes to Italy to work with struggling Italian directors on the first-ever ""Neo-Realist"" action movie in an effort to revitalize his career."
Ask Mevsimi,"Sirin and Ali Yaman's adventure, which started in Bozcaada at a young age, becomes inextricable as the years progress. The seasons of love that they both feel at different moments never occur at the same time."
We Are Wolves,"When Fenix, a lost soul craving something more, tries to re-join her chosen family, to prove her worth, she must play some very dangerous games."
And Their Children After Them,"In eastern France, two teenage cousins have the summer of their lives when they paddle a purloined canoe to the far shore of a lake."
The Groomsmen: Second Chances,Danny finds the courage to admit his romantic feelings for his best friend when he is asked to be the best man at his wedding in Greece.
El Heredero,A family in serious debt trouble find themselves between an abusive creditor and a nephew with a large inheritance.
Vanvaas,Delves into the dynamics between an elderly father grappling with dementia and his family.
Pacific Fear,Follows a group of surfers looking out for waves in a mysterious island that's been vanished from all maps.
Niki,"Follows Saint-Phalle while she is modeling and striving to be an actor. She's married and has a daughter who is two years old. They left the United States during the harsh McCarthy era and travel to France, where they briefly feel elated."
Another Day in America,"Based on true events: 'Another Day in America' is a dark, radical comedy-drama that revolves around an ensemble of distinct characters as they each go through a post-pandemic day in an American office."
The Colors Within,A girl who can see colors in people's hearts joins a band with two other people.
#AMFAD: All My Friends Are Dead,"A group of college friends rent an Airbnb for the biggest music festival of the year. A weekend of partying quickly takes a turn, as the group is murdered one by one."
My Name Is Loh Kiwan,"After defecting from North Korea, Loh Kiwan struggles to obtain refugee status in Belgium, where he encounters a dejected woman who has lost all hope."
Bangkok Dog,The story focuses on an American agent sent to a dangerous undercover mission in Thailand to dismantle a sadistic crime lord.
Drained,"Unemployed artist Thomas is captivated by alluring Rhea, who conceals her vampire nature. Their intense affair takes a sinister turn as Thomas becomes gravely ill."
All Shall Be Well,"Angie and Pat have been together for over four decades but after Pat's unexpected death, Angie finds herself at the mercy of Pat's family as she struggles to retain her dignity and the home that both had shared for over thirty years."
Last Stop: Rocafort St.,"A mystery that has shaken the Rocafort Metro station in Barcelona for years enters fully into Laura's life when she starts working at this old, quiet stop and discovers that many people have died there under strange circumstances."
Terra Incognita 1901,"Rejected by his peers, Professor Herbert, visionary and intrepid, embarks on a daring expedition to the unexplored confines of Antarctica. At the heart of the ice, enigmatic traces of a forgotten civilization emerge."
Daughters,"Four young girls prepare for a special Daddy/Daughter Dance with their incarcerated fathers as part of a unique fatherhood program in a Washington, D.C. jail."
Jamais sans mon psy,Follow this man with severe anxiety and a behavior his therapist cannot stand deciding to kick him out of his practice and challenge him to find the woman of his dreams.
Angels Fallen: Warriors of Peace,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world."
The Cut,A retired boxer returns to the ring for one last shot at the title but only if he can make the weight. Holed up in a room in Las Vegas he embarks on an intensive and illegal weight cut program with an unscrupulous trainer.
Vedaa,"The journey of a young woman, who faces and resists a repressive system against portrayal of an antagonist."
Desert Road,A woman crashes her car and walks down the road for help - only to find no matter which way she walks she ends up back at her crashed car again.
Bitter Gold,"Pacífico's injury thrusts his daughter Carola into leading his mining crew, navigating greed, misogyny, and threats while trying to secure their future."
Perfect Endings,"João and Hugo end their 10-year relationship but stay best friends. As they start dating again, uncontrollable emotions arise, contrasting the planned perfection of their breakup."
Gundi: Legend of Love,"Explore Georgi Asparuhov's rise from Sofia's outskirts to a football legend and his profound love for his wife Lita, set against 1960s Bulgaria's turmoil."
"Sarah Bernhardt, la divine",Through two episodes in the life of the great stage actress Sarah Bernhardt - the amputation of her right leg in 1915 and the jubilee organized by her friends in her honor in 1896 - her passionate relationship with the actor Lucien Guitry is explored.
Thangalaan,"Based on the true events that revolve around the lives of mine workers in the Kolar Gold Fields, Karnataka."
Garbo: Where Did You Go?,"An urgent, timely and compelling portrait of Hollywood icon Greta Garbo, whose fame, isolation and loneliness still captures us."
Strangers,"A frustrated woman encounters a mysterious hitman. Their romance leads to vigilante killings of criminals. As she delves deeper, she questions her partner's true nature and their hidden motives."
Inside the Mind of a Dog,Embark on a delightful journey into the world of dogs in this documentary that reveals scientific and emotional insights about our lovable BFFs.
